Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Сбер (Сбербанк),SBER,Группа компаний Элемент,19.09.2025,10:11,22.01.2026,19:17,Завершена,"310,00","41,90%",Покупка,Рыночная,Вертикальная,Внутренняя,1.2026,9.2025,,19.01.2026,19.09.2025,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,0.0,1.0,1.0,0.0,https://www.sberbank.ru/ru/sberpress/vazhnoe/article?newsID=f171a37b-2d5e-4cd1-ad0d-0f60a4e4ac24&blockID=8a5ea25e-318c-4d17-a60d-e806c4b0bc07&regionID=77&lang=ru&type=NEWS ,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2025-09-19,10:11,2026-01-19,2025-09-19,0.0,2025-09-19,2025-09-19T10:00:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.878818+03:00,2026-01-22,2,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Группа компаний Элемент,группа компаний элемент,2025-09-19,2026-01-22,2026-01-19,2025-09-19,10:11,19:17,310.0,41.9,Завершена,Покупка,Рыночная,Вертикальная
Альфа-банк,ACBR,Лизинговая компания Европлан,18.11.2025,09:45,25.12.2025,16:02,Завершена,"645,00","87,50%",Поглощение,Рыночная,Вертикальная,Внутренняя,12.2025,,11.2025,25.12.2025,18.11.2025,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,3,1.0,0.0,0.0,1.0,https://alfabank.ru/news/t/release/alfa-bank-zakril-sdelku-po-pokupke-krupneishego-nezavisimogo-avtolizingovogo-operatora-yevroplan/ ,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-11-18,09:45,2025-12-25,2025-11-18,,,,,3.12.9,2026-03-29T18:04:42.881790+03:00,2025-12-25,3,Альфа-банк,альфа банк,ACBR,ACBR,Лизинговая компания Европлан,лизинговая компания европлан,2025-11-18,2025-12-25,2025-12-25,2025-11-18,09:45,16:02,645.0,87.5,Завершена,Поглощение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Группа Астра,18.11.2025,,13.11.2025,,Завершена,"43,00","5,82%",Участие,Рыночная,Круговая,Внутренняя,11.2025,,,18.11.2025,18.11.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,0.0,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-11-18,,2025-11-18,2025-11-18,0.0,2025-11-18,2025-11-18T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.882496+03:00,2025-11-13,4,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Группа Астра,группа астра,2025-11-18,2025-11-13,2025-11-18,2025-11-18,,,43.0,5.82,Завершена,Участие,Рыночная,Круговая
Т-банк (Тинькофф),T,Гостиница Турист (г. Москва),14.08.2025,,03.08.2025,16:07,Завершена,"37,50","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,8.2025,,,04.08.2025,14.08.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-08-14,,2025-08-04,2025-08-14,0.0,2025-08-14,2025-08-14T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.884837+03:00,2025-08-03,5,Т-банк (Тинькофф),т банк тинькофф,T,T,Гостиница Турист (г. Москва),гостиница турист г москва,2025-08-14,2025-08-03,2025-08-04,2025-08-14,,16:07,37.5,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Пампаду,17.07.2025,16:07,,,Переговоры,"12,80—19,20","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,,7.2025,,13.08.2025,18.07.2025,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-07-17,16:07,2025-08-13,2025-07-18,0.0,2025-07-17,2025-07-17T16:00:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.889591+03:00,,6,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Пампаду,пампаду,2025-07-17,,2025-08-13,2025-07-18,16:07,,,100.0,Переговоры,Полное приобретение,Рыночная,Вертикальная
Т-банк (Тинькофф),T,Zabota 2.0,03.09.2025,,01.07.2025,15:33,Завершена,,"11,22%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,7.2025,,,01.07.2025,03.09.2025,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-09-03,,2025-07-01,2025-09-03,0.0,2025-09-03,2025-09-03T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.929139+03:00,2025-07-01,7,Т-банк (Тинькофф),т банк тинькофф,T,T,Zabota 2.0,zabota 2 0,2025-09-03,2025-07-01,2025-07-01,2025-09-03,,15:33,,11.22,Завершена,"Участие, Венчурный фонд Т-Инвестиций",Рыночная,Круговая
Т-банк (Тинькофф),T,Airo,30.05.2025,,30.05.2025,00:00,Завершена,,"12,50%","Участие, Венчурный фонд Т-Инвестиций ",Рыночная,Круговая,Внутренняя,5.2025,,,30.05.2025,30.05.2025,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2025-05-30,,2025-05-30,2025-05-30,0.0,2025-05-30,2025-05-30T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.932664+03:00,2025-05-30,8,Т-банк (Тинькофф),т банк тинькофф,T,T,Airo,airo,2025-05-30,2025-05-30,2025-05-30,2025-05-30,,00:00,,12.5,Завершена,"Участие, Венчурный фонд Т-Инвестиций",Рыночная,Круговая
ПАО Совкомбанк,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",16.02.2024,19:20,07.04.2025,14:22,Завершена,"523,30","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,4.2025,,2.2024,07.04.2025,19.02.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,!,0.0,1.0,1.0,1.0,https://sovcombank.ru/articles/novosti-kompanii/sovcombank-zavershil-prisoedinenie-home-banka?utm_referrer=https%3A%2F%2Fwww.google.com%2F,ready,,resolved=raw_ticker_exact; release_anchor=release_after_close_next_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2024-02-16,19:20,2025-04-07,2024-02-19,1.0,2024-02-19,2024-02-19T09:45:00+03:00,release_after_close_next_open,3.12.9,2026-03-29T18:04:42.936643+03:00,2025-04-07,9,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,"Хоум Банк (Хоум Кредит энд Финанс Банк, ХКФБ)",хоум банк хоум кредит энд финанс банк хкфб,2024-02-16,2025-04-07,2025-04-07,2024-02-19,19:20,14:22,523.3,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Т-банк (Тинькофф),T,Бизнес-центр Центральный телеграф,24.05.2024,13:59,05.02.2025,15:26,Завершена,"355,00—426,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2025,,,05.02.2025,18.03.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2024-05-24,13:59,2025-02-05,2025-03-18,0.0,2024-05-24,2024-05-24T13:45:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.939168+03:00,2025-02-05,10,Т-банк (Тинькофф),т банк тинькофф,T,T,Бизнес-центр Центральный телеграф,бизнес центр центральный телеграф,2024-05-24,2025-02-05,2025-02-05,2025-03-18,13:59,15:26,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Альфа-банк,ACBR,Таврос,19.06.2025,16:05,,,Завершена,,"80,00%",Консолидация,Рыночная,Круговая,Внутренняя,1.2025,,10.2024,09.01.2025,09.06.2025,Пищевая промышленность,Россия (ПФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2025-06-19,16:05,2025-01-09,2025-06-09,,,,,3.12.9,2026-03-29T18:04:42.941584+03:00,,11,Альфа-банк,альфа банк,ACBR,ACBR,Таврос,таврос,2025-06-19,,2025-01-09,2025-06-09,16:05,,,80.0,Завершена,Консолидация,Рыночная,Круговая
Промсвязьбанк (ПСБ),PSBR,М.Видео (М.Видео-Эльдорадо),27.01.2025,22:35,,,Переговоры,"195,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,1.2025,,28.01.2025,30.04.2022,Услуги / торговля,"Россия (СЗФО, ЦФО, ЮФО, УФО, СФО, ПФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2025-01-27,22:35,2025-01-28,2022-04-30,,,,,3.12.9,2026-03-29T18:04:42.942519+03:00,,12,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,М.Видео (М.Видео-Эльдорадо),м видео м видео эльдорадо,2025-01-27,,2025-01-28,2022-04-30,22:35,,195.0,100.0,Переговоры,Полное приобретение,Рыночная,Горизонтальная
Альфа-банк,ACBR,КАРО ФИЛЬМ Севастопольский,28.12.2024,,,,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,12.2024,,,28.12.2024,28.12.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2024-12-28,,2024-12-28,2024-12-28,,,,,3.12.9,2026-03-29T18:04:42.943293+03:00,,13,Альфа-банк,альфа банк,ACBR,ACBR,КАРО ФИЛЬМ Севастопольский,каро фильм севастопольский,2024-12-28,,2024-12-28,2024-12-28,,,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Альфа-банк,ACBR,Кинотеатр Россия (Москва),28.12.2024,,,,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,12.2024,,,28.12.2024,28.12.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2024-12-28,,2024-12-28,2024-12-28,,,,,3.12.9,2026-03-29T18:04:42.944931+03:00,,14,Альфа-банк,альфа банк,ACBR,ACBR,Кинотеатр Россия (Москва),кинотеатр россия москва,2024-12-28,,2024-12-28,2024-12-28,,,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Т-банк (Тинькофф),T,AnyQuery,24.11.2022,,13.12.2024,10:00,Оформление,,"18,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,,,12.2024,13.12.2024,24.11.2022,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-11-24,,2024-12-13,2022-11-24,0.0,2022-11-24,2022-11-24T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.946374+03:00,2024-12-13,15,Т-банк (Тинькофф),т банк тинькофф,T,T,AnyQuery,anyquery,2022-11-24,2024-12-13,2024-12-13,2022-11-24,,10:00,,18.0,Оформление,Консолидация,Рыночная,Вертикальная
Яндекс,YDEX,NewPay,24.12.2024,,29.11.2024,10:09,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,11.2024,,,29.11.2024,24.12.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2024-12-24,,2024-11-29,2024-12-24,0.0,2024-12-24,2024-12-24T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.950535+03:00,2024-11-29,16,Яндекс,яндекс,YDEX,YDEX,NewPay,newpay,2024-12-24,2024-11-29,2024-11-29,2024-12-24,,10:09,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Рокет (Рокетбанк),23.01.2025,,15.11.2024,01:27,Завершена,"1,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,11.2024,,,15.11.2024,23.01.2025,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО, УФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-01-23,,2024-11-15,2025-01-23,0.0,2025-01-23,2025-01-23T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.955779+03:00,2024-11-15,17,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Рокет (Рокетбанк),рокет рокетбанк,2025-01-23,2024-11-15,2024-11-15,2025-01-23,,01:27,1.0,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Алгоритмика,26.12.2024,,21.10.2024,20:30,Завершена,"10,40—15,60","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,10.2024,,,22.10.2024,26.12.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2024-12-26,,2024-10-22,2024-12-26,0.0,2024-12-26,2024-12-26T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.958784+03:00,2024-10-21,18,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Алгоритмика,алгоритмика,2024-12-26,2024-10-21,2024-10-22,2024-12-26,,20:30,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Нетология-групп (ТТ-Холдинг),02.07.2024,,17.10.2024,09:36,Завершена,"41,00—62,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,10.2024,,4.2024,17.10.2024,02.07.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2024-07-02,,2024-10-17,2024-07-02,0.0,2024-07-02,2024-07-02T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.962738+03:00,2024-10-17,19,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Нетология-групп (ТТ-Холдинг),нетология групп тт холдинг,2024-07-02,2024-10-17,2024-10-17,2024-07-02,,09:36,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,СДМ ТК-2,18.03.2025,,24.10.2024,09:05,Завершена,"62,00—93,00","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,10.2024,,,31.10.2024,18.03.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2025-03-18,,2024-10-31,2025-03-18,0.0,2025-03-18,2025-03-18T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:42.966884+03:00,2024-10-24,20,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,СДМ ТК-2,сдм тк 2,2025-03-18,2024-10-24,2024-10-31,2025-03-18,,09:05,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Промсвязьбанк (ПСБ),PSBR,CarMoney (Смарттехгрупп),16.09.2024,15:41,,,Завершена,,"24,00%",Участие,Рыночная,Параллельная,Внутренняя,10.2024,,,01.10.2024,26.02.2025,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2024-09-16,15:41,2024-10-01,2025-02-26,,,,,3.12.9,2026-03-29T18:04:42.971544+03:00,,21,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,CarMoney (Смарттехгрупп),carmoney смарттехгрупп,2024-09-16,,2024-10-01,2025-02-26,15:41,,,24.0,Завершена,Участие,Рыночная,Параллельная
Альфа-банк,ACBR,Rb.ru,29.10.2024,,16.09.2024,14:10,Завершена,,"73,00%",Покупка,Рыночная,Вертикальная,Внутренняя,9.2024,,,18.09.2024,29.10.2024,СМИ / Реклама / Спорт,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2024-10-29,,2024-09-18,2024-10-29,,,,,3.12.9,2026-03-29T18:04:42.972452+03:00,2024-09-16,22,Альфа-банк,альфа банк,ACBR,ACBR,Rb.ru,rb ru,2024-10-29,2024-09-16,2024-09-18,2024-10-29,,14:10,,73.0,Завершена,Покупка,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Абсолют Страхование,24.09.2024,13:38,,,Переговоры,"107,60","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,,9.2024,,25.09.2024,30.10.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2024-09-24,13:38,2024-09-25,2024-10-30,0.0,2024-09-24,2024-09-24T13:30:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:42.973070+03:00,,23,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Абсолют Страхование,абсолют страхование,2024-09-24,,2024-09-25,2024-10-30,13:38,,107.6,100.0,Переговоры,Полное приобретение,Рыночная,Параллельная
